RefID,VegID,CAS,LDfrac,J-rating,Veg Description,ClassIDPlus,Comments,Comments2
Guenther2019b,12887,2,1,4,Dicot tree,2,default dicot,
Guenther2019b,39869,3,0.5,4,Unknown vegetation,3,default unknown,
Guenther2019b,27341,3,0.5,4,Other Division vegetation,3,default other,
Guenther2019b,25816,3,0.5,4,Monocot tree,3,default monocot,
Guenther2019b,16757,3,0.5,4,Fern,3,default fern,
Guenther2019b,18435,3,0.5,4,Gymnosperm tree,3,default gymnosperm,
Guenther2019b,42247,3,0.5,4,Unknown shrubs,3,default shrub,
Guenther2019b,10079,3,0.5,4,Cool C3 Grass,3,default grass,
Guenther2019b,12887,3,0.5,4,Dicot tree,3,default dicot,
Guenther2019b,42336,3,0.5,4,Other Crops,3,default crop,
Guenther2019b,39869,3,0.3,4,Unknown vegetation,3,default unknown,
Guenther2019b,16757,3,0.3,4,Fern,3,default fern,
Guenther2019b,12887,3,0.3,4,Dicot tree,3,default dicot,
Guenther2019b,18435,3,0.3,4,Gymnosperm tree,3,default gymnosperm,
Guenther2019b,25816,3,0.3,4,Monocot tree,3,default monocot,
Guenther2019b,27341,3,0.3,4,Other Division vegetation,3,default other,
Guenther2019b,10079,4,0.9,4,Cool C3 Grass,4,default grass,
Guenther2019b,16757,4,0.3,4,Fern,4,default fern,
Guenther2019b,27341,4,0.3,4,Other Division vegetation,4,default other,
Guenther2019b,42247,4,0.9,4,Unknown shrubs,4,default shrub,
Guenther2019b,18435,4,0.3,4,Gymnosperm tree,4,default gymnosperm,
Guenther2019b,12887,4,0.3,4,Dicot tree,4,default dicot,
Guenther2019b,25816,4,0.3,4,Monocot tree,4,default monocot,
Guenther2019b,39869,4,0.3,4,Unknown vegetation,4,default unknown,
Guenther2019b,42336,4,0.9,4,Other Crops,4,default crop,
Guenther2019b,16757,4,0.9,4,Fern,4,default fern,
Guenther2019b,39869,4,0.9,4,Unknown vegetation,4,default unknown,
Guenther2019b,25816,4,0.9,4,Monocot tree,4,default monocot,
Guenther2019b,12887,4,0.9,4,Dicot tree,4,default dicot,
Guenther2019b,18435,4,0.9,4,Gymnosperm tree,4,default gymnosperm,
Guenther2019b,27341,4,0.9,4,Other Division vegetation,4,default other,
Guenther2019b,27341,4,0.9,4,Other Division vegetation,4,default other,
Guenther2019b,18435,4,0.9,4,Gymnosperm tree,4,default gymnosperm,
Guenther2019b,39869,4,0.9,4,Unknown vegetation,4,default unknown,
Guenther2019b,16757,4,0.9,4,Fern,4,default fern,
Guenther2019b,25816,4,0.9,4,Monocot tree,4,default monocot,
Guenther2019b,12887,4,0.9,4,Dicot tree,4,default dicot,
Guenther2019b,16757,4,0.9,4,Fern,4,default fern,
Guenther2019b,12887,4,0.9,4,Dicot tree,4,default dicot,
Guenther2019b,25816,4,0.9,4,Monocot tree,4,default monocot,
Guenther2019b,18435,4,0.9,4,Gymnosperm tree,4,default gymnosperm,
Guenther2019b,39869,4,0.9,4,Unknown vegetation,4,default unknown,
Guenther2019b,27341,4,0.9,4,Other Division vegetation,4,default other,
Guenther2019b,39869,5,0.3,4,Unknown vegetation,5,default unknown,
Guenther2019b,25816,5,0.3,4,Monocot tree,5,default monocot,
Guenther2019b,27341,5,0.3,4,Other Division vegetation,5,default other,
Guenther2019b,10079,5,0.3,4,Cool C3 Grass,5,default grass,
Guenther2019b,42336,5,0.3,4,Other Crops,5,default crop,
Guenther2019b,18435,5,0.3,4,Gymnosperm tree,5,default gymnosperm,
Guenther2019b,12887,5,0.3,4,Dicot tree,5,default dicot,
Guenther2019b,42247,5,0.3,4,Unknown shrubs,5,default shrub,
Guenther2019b,16757,5,0.3,4,Fern,5,default fern,
Guenther2019b,25816,5,0.3,4,Monocot tree,5,default monocot,
Guenther2019b,39869,5,0.3,4,Unknown vegetation,5,default unknown,
Guenther2019b,27341,5,0.3,4,Other Division vegetation,5,default other,
Guenther2019b,16757,5,0.3,4,Fern,5,default fern,
Guenther2019b,12887,5,0.3,4,Dicot tree,5,default dicot,
Guenther2019b,18435,5,0.3,4,Gymnosperm tree,5,default gymnosperm,
Guenther2019b,18435,5,0.3,4,Gymnosperm tree,5,default gymnosperm,
Guenther2019b,39869,5,0.3,4,Unknown vegetation,5,default unknown,
Guenther2019b,16757,5,0.3,4,Fern,5,default fern,
Guenther2019b,12887,5,0.3,4,Dicot tree,5,default dicot,
Guenther2019b,25816,5,0.3,4,Monocot tree,5,default monocot,
Guenther2019b,27341,5,0.3,4,Other Division vegetation,5,default other,
Guenther2019b,25816,5,0.3,4,Monocot tree,5,default monocot,
Guenther2019b,16757,5,0.3,4,Fern,5,default fern,
Guenther2019b,18435,5,0.3,4,Gymnosperm tree,5,default gymnosperm,
Guenther2019b,39869,5,0.3,4,Unknown vegetation,5,default unknown,
Guenther2019b,12887,5,0.3,4,Dicot tree,5,default dicot,
Guenther2019b,27341,5,0.3,4,Other Division vegetation,5,default other,
Guenther2019b,16757,5,0.3,4,Fern,5,default fern,
Guenther2019b,12887,5,0.3,4,Dicot tree,5,default dicot,
Guenther2019b,25816,5,0.3,4,Monocot tree,5,default monocot,
Guenther2019b,39869,5,0.3,4,Unknown vegetation,5,default unknown,
Guenther2019b,18435,5,0.3,4,Gymnosperm tree,5,default gymnosperm,
Guenther2019b,27341,5,0.3,4,Other Division vegetation,5,default other,
Guenther2019b,25816,5,0.3,4,Monocot tree,5,default monocot,
Guenther2019b,16757,5,0.3,4,Fern,5,default fern,
Guenther2019b,27341,5,0.3,4,Other Division vegetation,5,default other,
