gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
302,0.0000,0.0000,0.0000,0.0000
303,0.0000,0.0000,0.0000,0.0000
304,0.0000,0.0000,0.0000,0.0000
305,0.0000,0.0000,0.0000,0.0000
306,0.0000,0.0000,0.0000,0.0000
307,0.0000,0.0000,0.0000,0.0000
308,0.0000,0.0000,0.0000,0.0000
309,0.0000,0.0000,0.0000,0.0000
310,0.0000,0.0000,0.0000,0.0000
311,0.0000,0.0000,0.0000,0.0000
312,0.0000,0.0000,0.0000,0.0000
313,0.0000,0.0000,0.0000,0.0000
314,0.0000,0.0000,0.0000,0.0000
315,0.0000,0.0000,0.0000,0.0000
316,0.0000,0.0000,0.0000,0.0000
317,0.0000,0.0000,0.0000,0.0000
318,0.0000,0.0000,0.0000,0.0000
319,0.0000,0.0000,0.0000,0.0000
320,0.0000,0.0000,0.0000,0.0000
321,0.0000,0.0000,0.0000,0.0000
322,0.0000,0.0000,0.0000,0.0000
323,0.0000,0.0000,0.0000,0.0000
324,0.0000,0.0000,0.0000,0.0000
325,0.0000,0.0000,0.0000,0.0000
326,0.0000,0.0000,0.0000,0.0000
327,0.0000,0.0000,0.0000,0.0000
328,0.0000,0.0000,0.0000,0.0000
329,0.0000,0.0000,0.0000,0.0000
330,0.0000,0.0000,0.0000,0.0000
331,0.0000,0.0000,0.0000,0.0000
332,0.0000,0.0000,0.0000,0.0000
333,0.0000,0.0000,0.0000,0.0000
334,0.0000,0.0000,0.0000,0.0000
335,0.0000,0.0000,0.0000,0.0000
336,0.0000,0.0000,0.0000,0.0000
337,0.0000,0.0000,0.0000,0.0000
338,0.0000,0.0000,0.0000,0.0000
339,0.0000,0.0000,0.0000,0.0000
340,0.0000,0.0000,0.0000,0.0000
341,0.0000,0.0000,0.0000,0.0000
342,0.0000,0.0000,0.0000,0.0000
343,0.0000,0.0000,0.0000,0.0000
344,0.0572,0.0011,0.0092,0.0093
345,0.0000,0.0000,0.0000,0.0000
346,0.0000,0.0000,0.0000,0.0000
347,0.0409,0.0727,0.0706,0.0462
348,0.1582,0.5159,0.1031,0.1518
349,0.5181,0.1107,0.1148,0.0994
350,0.3592,0.0411,0.2381,0.2377
351,0.2760,0.0132,0.3203,0.2854
352,0.2591,0.0095,0.3220,0.3034
353,0.1424,0.0221,0.3289,0.4053
354,0.1487,0.0258,0.2384,0.4931
355,0.1101,0.0310,0.2102,0.5421
356,0.1100,0.0372,0.3723,0.3011
357,0.0208,0.0672,0.3377,0.2992
358,0.0110,0.0343,0.3042,0.3095
359,0.0078,0.0290,0.2214,0.3591
360,0.0367,0.0271,0.2881,0.2365
361,0.0488,0.0375,0.3503,0.2028
362,0.2486,0.0595,0.2672,0.2934
363,0.1745,0.0508,0.2930,0.3385
364,0.0460,0.0569,0.3818,0.2964
365,0.3946,0.0707,0.1875,0.1907
366,0.4158,0.2630,0.0656,0.0986
367,0.2962,0.3036,0.0684,0.2185
368,0.1092,0.2337,0.1184,0.4064
369,0.0966,0.2612,0.0910,0.2635
370,0.0810,0.1829,0.0746,0.0967
371,0.0000,0.0000,0.0000,0.0000
372,0.0000,0.0000,0.0000,0.0000
373,0.0000,0.0000,0.0000,0.0000
374,0.0000,0.0000,0.0000,0.0000
375,0.0000,0.0000,0.0000,0.0000
376,0.0000,0.0000,0.0000,0.0000
377,0.0000,0.0000,0.0000,0.0000
378,0.0000,0.0000,0.0000,0.0000
379,0.0000,0.0000,0.0000,0.0000
380,0.0000,0.0000,0.0000,0.0000
381,0.0000,0.0000,0.0000,0.0000
382,0.0000,0.0000,0.0000,0.0000
383,0.0000,0.0000,0.0000,0.0000
384,0.0000,0.0000,0.0000,0.0000
385,0.0000,0.0000,0.0000,0.0000
386,0.0000,0.0000,0.0000,0.0000
387,0.0000,0.0000,0.0000,0.0000
388,0.0000,0.0000,0.0000,0.0000
389,0.0000,0.0000,0.0000,0.0000
390,0.0000,0.0000,0.0000,0.0000
391,0.0000,0.0000,0.0000,0.0000
392,0.0000,0.0000,0.0000,0.0000
393,0.0000,0.0000,0.0000,0.0000
394,0.0000,0.0000,0.0000,0.0000
395,0.0000,0.0000,0.0000,0.0000
396,0.0000,0.0000,0.0000,0.0000
397,0.0000,0.0000,0.0000,0.0000
398,0.0000,0.0000,0.0000,0.0000
399,0.0000,0.0000,0.0000,0.0000
400,0.0000,0.0000,0.0000,0.0000
401,0.0022,0.0000,0.0020,0.0013
402,0.0368,0.0001,0.0075,0.0046
403,0.0000,0.0000,0.0000,0.0000
404,0.0000,0.0000,0.0000,0.0000
405,0.0000,0.0000,0.0000,0.0000
406,0.0000,0.0000,0.0000,0.0000
407,0.0000,0.0000,0.0000,0.0000
408,0.0000,0.0000,0.0000,0.0000
409,0.0000,0.0000,0.0000,0.0000
410,0.0000,0.0000,0.0000,0.0000
411,0.0000,0.0000,0.0000,0.0000
412,0.0000,0.0000,0.0000,0.0000
413,0.0000,0.0000,0.0000,0.0000
414,0.0000,0.0000,0.0000,0.0000
415,0.0000,0.0000,0.0000,0.0000
416,0.0000,0.0000,0.0000,0.0000
417,0.0000,0.0000,0.0000,0.0000
418,0.0000,0.0000,0.0000,0.0000
419,0.0000,0.0000,0.0000,0.0000
420,0.0000,0.0000,0.0000,0.0000
421,0.0000,0.0000,0.0000,0.0000
422,0.0000,0.0000,0.0000,0.0000
423,0.0000,0.0000,0.0000,0.0000
424,0.0000,0.0000,0.0000,0.0000
425,0.0000,0.0000,0.0000,0.0000
426,0.0000,0.0000,0.0000,0.0000
427,0.0000,0.0000,0.0000,0.0000
428,0.0001,0.0000,0.0001,0.0001
429,0.0000,0.0000,0.0000,0.0000
430,0.0000,0.0000,0.0000,0.0000
431,0.0193,0.0616,0.0066,0.0106
432,0.2700,0.3468,0.0554,0.0927
433,0.5029,0.1615,0.0648,0.0709
434,0.4546,0.0107,0.0503,0.0407
435,0.2245,0.0041,0.0334,0.0281
436,0.0882,0.0032,0.0214,0.0251
437,0.0310,0.0119,0.0119,0.0285
438,0.0034,0.0001,0.0032,0.0028
439,0.0000,0.0000,0.0000,0.0000
440,0.0000,0.0000,0.0000,0.0000
441,0.0000,0.0000,0.0000,0.0000
442,0.0000,0.0000,0.0000,0.0000
443,0.0000,0.0000,0.0000,0.0000
444,0.0000,0.0000,0.0000,0.0000
445,0.0000,0.0000,0.0000,0.0000
446,0.0000,0.0000,0.0000,0.0000
447,0.0000,0.0000,0.0000,0.0000
448,0.0000,0.0000,0.0000,0.0000
449,0.0000,0.0000,0.0000,0.0000
450,0.0000,0.0000,0.0000,0.0000
451,0.0000,0.0000,0.0000,0.0000
452,0.0000,0.0000,0.0000,0.0000
453,0.0000,0.0000,0.0000,0.0000
454,0.0000,0.0000,0.0000,0.0000
