gridID,EcotypeID,EcotypeFrac
121,-999,1.0000
122,-999,1.0000
123,-999,1.0000
124,-999,1.0000
125,-999,1.0000
126,-999,1.0000
127,-999,1.0000
128,-999,1.0000
129,-999,1.0000
130,-999,1.0000
131,-999,1.0000
132,-999,1.0000
133,-999,1.0000
134,-999,1.0000
135,-999,1.0000
136,-999,1.0000
137,-999,1.0000
138,-999,1.0000
139,-999,1.0000
140,-999,1.0000
141,-999,1.0000
142,-999,1.0000
143,-999,1.0000
144,-999,1.0000
145,-999,1.0000
146,-999,1.0000
147,-999,1.0000
148,-999,1.0000
149,-999,1.0000
150,-999,1.0000
151,-999,1.0000
152,-999,1.0000
153,-999,1.0000
154,-999,1.0000
155,-999,1.0000
156,-999,1.0000
157,-999,1.0000
158,-999,1.0000
159,-999,1.0000
160,-999,1.0000
161,-999,1.0000
162,-999,1.0000
163,-999,1.0000
164,-999,1.0000
165,-999,1.0000
166,-999,1.0000
167,-999,1.0000
168,-999,1.0000
169,-999,1.0000
170,-999,1.0000
171,-999,1.0000
172,-999,1.0000
173,-999,1.0000
174,-999,1.0000
175,-999,1.0000
176,-999,1.0000
177,-999,1.0000
178,-999,1.0000
179,-999,1.0000
180,-999,1.0000
181,-999,1.0000
182,-999,1.0000
183,-999,1.0000
184,-999,1.0000
185,-999,1.0000
186,-999,1.0000
187,-999,1.0000
188,-999,1.0000
189,-999,1.0000
190,-999,1.0000
191,-999,1.0000
192,-999,1.0000
193,-999,1.0000
194,-999,1.0000
195,-999,1.0000
196,-999,1.0000
197,-999,1.0000
198,-999,1.0000
199,-999,1.0000
200,-999,1.0000
201,-999,1.0000
202,-999,1.0000
203,-999,1.0000
204,-999,1.0000
205,-999,1.0000
206,-999,1.0000
207,-999,1.0000
208,-999,1.0000
209,-999,1.0000
210,-999,1.0000
211,-999,1.0000
212,-999,1.0000
213,-999,1.0000
214,-999,1.0000
215,-999,1.0000
216,-999,1.0000
217,-999,1.0000
218,-999,1.0000
219,-999,1.0000
220,-999,1.0000
221,-999,1.0000
222,-999,1.0000
223,-999,1.0000
224,-999,1.0000
225,-999,1.0000
226,-999,1.0000
227,-999,1.0000
228,5314,1.0000
229,5314,0.9952
229,5539,0.0048
230,5314,1.0000
231,5314,1.0000
232,5314,1.0000
233,5314,1.0000
234,5314,1.0000
235,5314,1.0000
236,5314,1.0000
