EcoTypeID,VegID,treeSpecfrac
3007,21198,0.342707472
3008,32000,0.245910399
3008,30137,0.134929014
3008,32507,0.104387616
3008,35831,0.089640825
3008,30148,0.073299855
3008,32450,0.057116058
3008,32478,0.046321037
3008,22915,0.03461292
3008,2584,0.033921859
3008,33,0.033752212
3008,32587,0.026647009
3008,39773,0.025636613
3008,6130,0.021829541
3008,30122,0.020968833
3008,1481,0.020614571
3008,20,0.013317267
3008,9,0.005907697
3008,410,0.003248236
3008,10306,0.002851562
3008,30118,0.002404992
3008,39774,0.002360085
3008,16,0.000239501
3008,38953,8.23E-05
3009,34276,0.4486428
3009,21162,0.2134118
3009,10318,0.1740522
3009,31871,0.07670501
3009,34418,0.02229146
3009,396,0.01712358
3009,21198,0.0161166
3009,21182,0.007537572
3009,1467,0.005886113
3009,30148,0.003899596
3009,10588,0.003313595
3009,4946,0.002519124
3009,10296,0.002147451
3009,31775,0.001410899
3009,4960,0.001180946
3009,14005,0.001070588
3009,31296,0.000460244
3009,10643,0.000387718
3009,32000,0.000340467
3009,31279,0.000326731
3009,17176,0.000265312
3009,413,0.000236357
3009,42532,0.000198537
3009,30079,0.000151432
3009,24,9.12E-05
3009,34357,7.76E-05
3009,31276,5.20E-05
3009,30098,5.05E-05
3009,32515,3.59E-05
3009,32001,1.56E-05
3009,31296,1.01E-06
3009,42365,2.17E-09
3011,32000,0.220577135
3011,31296,0.19664525
3011,30148,0.153356954
3011,24,0.097275224
3011,16,0.077824819
3011,30098,0.076480094
3011,29957,0.044442359
3011,27,0.028649551
3011,32475,0.014405433
3011,20,0.013162523
3011,21185,0.011731426
3011,39773,0.011527394
3011,38754,0.005500569
3011,8313,0.005198933
3011,403,0.004594793
3011,30118,0.004468778
3011,30079,0.004176301
3011,29971,0.003815167
3011,21198,0.003673308
3011,21188,0.003631392
3011,30113,0.002900567
3011,30107,0.002660703
3011,396,0.002498253
3011,9,0.00211693
3011,31297,0.002104496
3011,21620,0.001441125
3011,39774,0.001099713
3011,32423,0.001058064
3011,1481,0.000949497
3011,33,0.000596987
3011,30080,0.000589901
3011,31273,0.000229235
3011,410,0.000205436
3011,29973,0.000127486
3011,41596,0.000118595
3011,34276,0.000105492
3011,31775,2.31E-05
3011,38222,1.48E-05
3011,30134,1.38E-05
3011,30153,8.42E-06
3012,403,0.280820142
3012,32475,0.254973124
3012,31296,0.137895734
3012,396,0.103763703
3012,32000,0.093082067
3012,30098,0.041946184
3012,16,0.035295954
3012,8313,0.019791975
3012,21198,0.015760571
3012,24,0.013337495
3012,31273,0.003333051
3013,32515,0.30071599
3013,21201,0.227904924
3013,30148,0.145053531
3013,38837,0.094096258
3013,31279,0.058102214
3013,17176,0.053650654
3013,8087,0.041956891
3013,4961,0.031048698
3013,39836,0.028953846
3013,20983,0.015359753
3013,27337,0.001952701
3013,39848,0.00120454
3014,32450,0.313018898
3014,32426,0.22977109
3014,35831,0.076790762
3014,30103,0.057301709
3014,31999,0.051613364
3014,22915,0.048680757
3014,30118,0.032314841
3014,32423,0.029860966
3014,32507,0.023474513
3014,32587,0.021490007
3014,32000,0.015713861
3014,410,0.011989274
3014,1481,0.011687157
3014,26921,0.010547008
3014,30148,0.010497415
3014,30158,0.009241885
3014,30543,0.006832542
3014,41597,0.006417828
3014,1480,0.006292072
3014,2584,0.004453058
3014,16,0.004071237
3014,34276,0.003144898
3014,30085,0.003002695
3014,30154,0.002914388
3014,32478,0.0025771
3014,32460,0.002428572
3014,32470,0.001069048
3014,30122,0.001018948
3014,15972,0.000740869
3014,21164,0.000545278
3014,32513,0.000389412
3014,38953,0.000108549
3015,35831,0.485747049
3015,22915,0.196413118
3015,32000,0.132855993
3015,2584,0.044804795
3015,32426,0.032873894
3015,32507,0.019779035
3015,1481,0.018532995
3015,32478,0.013901723
3015,32450,0.010232734
3015,20,0.009724596
3015,30137,0.00731073
3015,410,0.006060989
3015,29973,0.005623664
3015,32587,0.005273131
3015,30148,0.001732817
3015,30122,0.001727771
3015,39773,0.001446873
3015,822,0.001446032
3015,38953,0.001115684
3015,30085,0.000919728
3015,7679,0.000741434
3015,34276,0.000600481
3015,15972,0.000488795
3015,30154,0.000408226
3015,30543,0.000166015
3015,30098,7.17E-05
3016,21188,0.417108545
3016,30107,0.286940462
3016,21183,0.13229164
3016,30148,0.038261453
3016,32000,0.028727075
3016,21198,0.028187653
3016,32475,0.016378325
3016,8313,0.013480044
3016,21177,0.010189557
3016,16,0.008937216
3016,31296,0.007174294
3016,32423,0.005053464
3016,32423,0.002025506
3016,30153,0.001677009
3016,31273,0.001202063
3016,30113,0.00060852
3016,403,0.0004245
3016,29971,0.000416204
3016,30080,0.000246771
3016,30105,0.000203564
3016,396,0.0001799
3016,24,0.000154844
3016,31284,7.04E-05
3016,32468,5.08E-05
3016,26921,7.80E-06
3016,33414,2.39E-06
3017,30148,0.486585389
3017,21185,0.341006852
3017,16,0.068434871
3017,32000,0.050406976
3017,30098,0.032358564
3017,20,0.017328278
3017,8313,0.003879069
3018,32000,0.425271425
3018,20,0.233385979
3018,30148,0.093936869
3018,30098,0.043067984
3018,39773,0.042968765
3018,38754,0.02642391
3018,21620,0.02487489
3018,24,0.023388972
3018,9,0.023348561
3018,29957,0.01383696
3018,39774,0.012804832
3018,33,0.010786703
3018,30134,0.009573789
3018,16,0.003724568
3018,31297,0.002570496
3018,32478,0.002266752
3018,41596,0.001501575
3018,31296,0.00129935
3018,410,0.001070476
3018,30079,0.001024553
3018,27,0.000848197
3018,41590,0.000790472
3018,31775,0.00048781
3018,1481,0.000283048
3018,6130,0.00028298
3018,34276,0.000129688
3018,2584,3.22E-05
3018,38222,9.81E-06
3018,10306,8.25E-06
3018,7679,6.76E-08
