EcoTypeID,VegID,ShrubSpecFrac
5370,GFShrub,1
5371,GFShrub,1
5372,GFShrub,1
5373,GFShrub,1
5374,GFShrub,1
5375,GFShrub,1
5376,GFShrub,1
5377,GFShrub,1
5378,GFShrub,1
5379,GFShrub,1
5380,GFShrub,1
5381,GFShrub,1
5382,GFShrub,1
5383,GFShrub,1
5384,GFShrub,1
5385,GFShrub,1
5386,GFShrub,1
5387,GFShrub,1
5388,GFShrub,1
5389,GFShrub,1
5390,GFShrub,1
5391,GFShrub,1
5392,GFShrub,1
5393,GFShrub,1
5394,GFShrub,1
5395,GFShrub,1
5396,GFShrub,1
5397,GFShrub,1
5398,GFShrub,1
5399,GFShrub,1
5400,GFShrub,1
5401,GFShrub,1
5402,GFShrub,1
5403,GFShrub,1
5404,GFShrub,1
5405,GFShrub,1
5406,GFShrub,1
5407,GFShrub,1
5408,GFShrub,1
5409,GFShrub,1
5410,GFShrub,1
5411,GFShrub,1
5412,GFShrub,1
5413,GFShrub,1
5414,GFShrub,1
5415,GFShrub,1
5416,GFShrub,1
